manual_id,manual_name,manual_armor_f_s_r,manual_movement,manual_weapon1,manual_nation,manual_source,CURRENT_bg_builder_id,CURRENT_bg_name,SUGGESTED_bg_id_1,SUGGESTED_bg_name_1,similarity_1,SUGGESTED_bg_id_2,SUGGESTED_bg_name_2,similarity_2,SUGGESTED_bg_id_3,SUGGESTED_bg_name_3,similarity_3,APPROVED_bg_id,NOTES
198,Panzer I,O/O/O,"8""/12""",2x MGs,german,Tobruk,286,Panzer I,286,Panzer I,100.00%,287,Panzer II C,84.21%,13,Panzer II F,84.21%,,
200,Panzer I,O/O/O,"8""/12""",,german,Tobruk,286,Panzer I,286,Panzer I,100.00%,287,Panzer II C,84.21%,13,Panzer II F,84.21%,,
202,Panzer II C,O/O/O,"10""/14""",20mmL55,german,Tobruk,287,Panzer II C,287,Panzer II C,100.00%,13,Panzer II F,90.91%,465,Panzer III D,86.96%,,
203,Panzer II F,N/O/O,"10""/14""",20mmL55,german,Tobruk,13,Panzer II F,13,Panzer II F,100.00%,288,Panzer III F,95.65%,287,Panzer II C,90.91%,,
208,Panzer III E Pz. Bef. Wg,M/N/N,"8""/12""",Dummy,german,Tobruk,,,351,Panzer III E Befehlswagen,73.47%,457,Panzer III E Panzerbefehlswagen,72.73%,361,Panzer III H Panzerbefehlswagen,69.09%,,
204,Panzer III F,M/N/N,"8""/12""",37mmL46,german,Tobruk,288,Panzer III F,288,Panzer III F,100.00%,13,Panzer II F,95.65%,465,Panzer III D,91.67%,,
205,Panzer III G,M/N/N,"8""/12""",50mmL42,german,Tobruk,289,Panzer III G,289,Panzer III G,100.00%,465,Panzer III D,91.67%,466,Panzer III E,91.67%,,
206,Panzer III H,L/N/N,"8""/12""",50mmL42,german,Tobruk,369,Panzer III H,369,Panzer III H,100.00%,465,Panzer III D,91.67%,466,Panzer III E,91.67%,,
209,Panzer III H Pz. Bef. Wg,L/N/N,"8""/12""",Dummy,german,Tobruk,,,361,Panzer III H Panzerbefehlswagen,72.73%,351,Panzer III E Befehlswagen,69.39%,457,Panzer III E Panzerbefehlswagen,69.09%,,
207,Panzer III J,L/N/N,"8""/12""",50mmL42,german,Tobruk,1,Panzer III J,1,Panzer III J,100.00%,465,Panzer III D,91.67%,466,Panzer III E,91.67%,,
210,Panzer IV D,M/N/N,"8""/12""",75mmL24,german,Tobruk,96,Panzer IV D,96,Panzer IV D,100.00%,185,Panzer IV D,100.00%,458,Panzer IV D,100.00%,,
211,Panzer IV E,L/N/N,"8""/12""",75mmL24,german,Tobruk,96,Panzer IV D,96,Panzer IV D,90.91%,185,Panzer IV D,90.91%,458,Panzer IV D,90.91%,,
85,Panzer IV H,H/K/L,"12""/20""",75mmL48,german,,9,Panzer IV H/J,9,Panzer IV H/J,91.67%,96,Panzer IV D,90.91%,185,Panzer IV D,90.91%,,
86,Panzer IV J,H/K/L,"12""/20""",75mmL48,german,,9,Panzer IV H/J,9,Panzer IV H/J,91.67%,96,Panzer IV D,90.91%,185,Panzer IV D,90.91%,,
217,Panzerjäger I,O/O/O,"8""/12""",47mmL43,german,Tobruk,,,286,Panzer I,76.19%,227,Panzerjaeger 35R,75.86%,283,Panzerjaeger auf Pz I,70.59%,,
166,RAM Kangaroo,K/M/M,"9""/14""",MG,british,,147,Ram Kangaroo,147,Ram Kangaroo,100.00%,566,Sherman Kangaroo,78.57%,92,Radio Van,47.62%,,
227,Rolls Royce,O/O/O,"8""/12""",Boyes AT rifle,british,Tobruk,,,341,Rolls Royce Armoured Car,62.86%,113,Cromwell ARV,52.17%,123,Churchill AVRE,48.00%,,
187,SPA AS37,SS/SS/SS,"8""/24""",,italian,Tobruk,306,SPA AS37,306,SPA AS37,100.00%,430,SPA AS42,75.00%,305,SPA TL37,75.00%,,
13,Scammell Pioneer,?/?/?,"6""/24""",,canadian,,183,Scammel Pioneer,183,Scammel Pioneer,96.77%,111,Cromwell IV or V,56.25%,114,Challenger,53.85%,,
212,SdKfz 221,O/O/O,"8""/24""",MG,german,Tobruk,294,SdKfz 221,294,SdKfz 221,100.00%,32,SdKfz 222,88.89%,33,SdKfz 223,88.89%,,
38,SdKfz 222,O/O/O,"8""/24""",20mmL55,german,,32,SdKfz 222,32,SdKfz 222,100.00%,294,SdKfz 221,88.89%,33,SdKfz 223,88.89%,,
213,SdKfz 223,O/O/O,"8""/24""",MG,german,Tobruk,33,SdKfz 223,33,SdKfz 223,100.00%,294,SdKfz 221,88.89%,32,SdKfz 222,88.89%,,
214,SdKfz 231,N/O/O,"8""/24""",20mmL55,german,Tobruk,593,SdKfz 231,593,SdKfz 231,100.00%,199,SdKfz 234/1,90.00%,294,SdKfz 221,88.89%,,
215,SdKfz 232,N/O/O,"8""/24""",20mmL55,german,Tobruk,34,SdKfz 232,34,SdKfz 232,100.00%,200,SdKfz 234/2,90.00%,294,SdKfz 221,88.89%,,
39,SdKfz 234/1,N/O/O,"8""/24""",20mmL55,german,,199,SdKfz 234/1,199,SdKfz 234/1,100.00%,200,SdKfz 234/2,90.91%,201,SdKfz 234/3,90.91%,,
40,SdKfz 234/2,N/O/O,"8""/24""",50mm L60,german,,200,SdKfz 234/2,200,SdKfz 234/2,100.00%,199,SdKfz 234/1,90.91%,201,SdKfz 234/3,90.91%,,
41,SdKfz 234/3,N/O/O,"8""/24""",75mmL24,german,,201,SdKfz 234/3,201,SdKfz 234/3,100.00%,199,SdKfz 234/1,90.91%,200,SdKfz 234/2,90.91%,,
33,SdKfz 250/1,O/O/O,"12""/16""",MG,german,,43,SdKfz 250/1,43,SdKfz 250/1,100.00%,48,SdKfz 250/10,95.65%,49,SdKfz 250/11,95.65%,,
37,SdKfz 250/10,O/O/O,"12""/16""",37mmL43,german,,48,SdKfz 250/10,48,SdKfz 250/10,100.00%,43,SdKfz 250/1,95.65%,49,SdKfz 250/11,91.67%,,
34,SdKfz 250/3,O/O/O,"12""/16""",MG,german,,44,SdKfz 250/3,44,SdKfz 250/3,100.00%,43,SdKfz 250/1,90.91%,45,SdKfz 250/7,90.91%,,
35,SdKfz 250/8,O/O/O,"12""/16""",75mm L24,german,,46,SdKfz 250/8,46,SdKfz 250/8,100.00%,43,SdKfz 250/1,90.91%,44,SdKfz 250/3,90.91%,,
36,SdKfz 250/9,O/O/O,"12""/16""",20mmL55,german,,47,SdKfz 250/9,47,SdKfz 250/9,100.00%,43,SdKfz 250/1,90.91%,44,SdKfz 250/3,90.91%,,
25,SdKfz 251/1,O/O/O,"12""/16""",MG,german,,37,SdKfz 251/1,37,SdKfz 251/1,100.00%,41,SdKfz 251/10,95.65%,42,SdKfz 251/16,95.65%,,
29,SdKfz 251/10,O/O/O,"12""/16""",37mmL43,german,,41,SdKfz 251/10,41,SdKfz 251/10,100.00%,37,SdKfz 251/1,95.65%,48,SdKfz 250/10,91.67%,,
26,SdKfz 251/2,O/O/O,"12""/16""",80mm mortar,german,,38,SdKfz 251/2,38,SdKfz 251/2,100.00%,248,SdKfz 251/20,95.65%,260,SdKfz 251/21,95.65%,,
32,SdKfz 251/21,O/O/O,"12""/16""",Multiple-15mm,german,,260,SdKfz 251/21,260,SdKfz 251/21,100.00%,37,SdKfz 251/1,95.65%,38,SdKfz 251/2,95.65%,,
87,SdKfz 251/3,O/O/O,"12""/16""",MG,german,,39,SdKfz 251/3,39,SdKfz 251/3,100.00%,254,SdKfz 251/23,95.65%,44,SdKfz 250/3,90.91%,,
88,SdKfz 251/4,O/O/O,"12""/16""",MG,german,,281,SdKfz 251/4,281,SdKfz 251/4,100.00%,37,SdKfz 251/1,90.91%,38,SdKfz 251/2,90.91%,,
28,SdKfz 251/9,O/O/O,"12""/16""",75mmL24,german,,40,SdKfz 251/9,40,SdKfz 251/9,100.00%,47,SdKfz 250/9,90.91%,37,SdKfz 251/1,90.91%,,
218,SdKfz 253,O/O/O,"12""/16""",,german,Tobruk,420,SdKfz 253,420,SdKfz 253,100.00%,44,SdKfz 250/3,90.00%,39,SdKfz 251/3,90.00%,,
219,SdKfz 254,O/O/O,"12""/16""",,german,Tobruk,421,SdKfz 254,421,SdKfz 254,100.00%,281,SdKfz 251/4,90.00%,282,SdKfz 247,88.89%,,
216,SdKfz 263,N/O/O,"8""/24""",MG,german,Tobruk,198,SdKfz 263,198,SdKfz 263,100.00%,33,SdKfz 223,88.89%,593,SdKfz 231,88.89%,,
199,Sdkfz 265 Pz. Bef. Wg,O/O/O,"8""/12""",MG,german,Tobruk,,,285,SdKfz 265 Panzerbefehlswagen,69.39%,36,SdKfz 236,53.33%,420,SdKfz 253,53.33%,,
116,Sexton,N/O/O,"8""/12""",25 pdr,british,,154,Sexton,154,Sexton,100.00%,138,Staghound,53.33%,264,Nashorn,46.15%,,
128,Sherman ARV,L/L/N,"9""/14""",MG,british,,109,M4 Sherman ARV,109,M4 Sherman ARV,88.00%,110,M4 Sherman BARV,84.62%,566,Sherman Kangaroo,74.07%,,
167,Sherman Kangaroo,K/L/N,"9""/14""",MG,british,,566,Sherman Kangaroo,566,Sherman Kangaroo,100.00%,147,Ram Kangaroo,78.57%,109,M4 Sherman ARV,66.67%,,
48,Staff car,?/?/?,"6""/24""",,german,,53,Staff car,53,Staff car,100.00%,56,Steyr Heavy car,58.33%,428,Heavy car,55.56%,,
186,Staff car,SS/SS/SS,"6""/24""",,italian,Tobruk,53,Staff car,53,Staff car,100.00%,56,Steyr Heavy car,58.33%,428,Heavy car,55.56%,,
149,Staghound,N/N/O,"8""/24""",37mmL53,british,,138,Staghound,138,Staghound,100.00%,139,Staghound AA,85.71%,142,M8 Greyhound,57.14%,,
150,Staghound AA,N/N/O,"8""/24""",2 x MGs,british,,139,Staghound AA,139,Staghound AA,100.00%,138,Staghound,85.71%,128,Centaur AA,54.55%,,
51,Steyr/Horch Heavy Car,?/?/?,"6""/24""",,german,,,,423,Horch Heavy car,83.33%,56,Steyr Heavy car,83.33%,428,Heavy car,60.00%,,
24,Sturmgeschutz,L/K/L,"10""/14""",MG,german,,,,189,StuG IV,72.73%,407,StuG 33B,66.67%,19,StuH 42 G,61.54%,,
129,Tetrarch,N/O/O,"14""/20""",2 pdr,british,,118,Tetrarch,118,Tetrarch,100.00%,119,Tetrarch CS,84.21%,234,Archer,57.14%,,
130,Tetrarch CS,N/O/O,"14""/20""","3"" How",british,,119,Tetrarch CS,119,Tetrarch CS,100.00%,118,Tetrarch,84.21%,333,A9 CS,50.00%,,
104,Valentine Bridgelayer,K/K/L,"5""/8""",,british,,131,Valentine Bridge,131,Valentine Bridge,86.49%,331,Valentine II,66.67%,87,Valentine III,64.71%,,
222,Valentine II,K/K/N,"6""/9""",2 pdr,british,Tobruk,331,Valentine II,331,Valentine II,100.00%,87,Valentine III,96.00%,573,Valentine III,96.00%,,
240,Valentine III,K/K/N,"5""/8""",2 pdr,british,Torch,87,Valentine III,87,Valentine III,100.00%,573,Valentine III,100.00%,417,Valentine VIII,96.30%,,
245,Valentine VIII,K/K/N,"5""/8""",6 pdr,british,Torch,417,Valentine VIII,417,Valentine VIII,100.00%,87,Valentine III,96.30%,573,Valentine III,96.30%,,
189,Van,SS/SS/SS,"6""/24""",,italian,Tobruk,,,92,Radio Van,50.00%,264,Nashorn,40.00%,331,Valentine II,40.00%,,
92,Vickers IV,O/O/O,"12""/18""",MG,british,,567,Vickers IV,567,Vickers IV,100.00%,326,Vickers VI,90.00%,328,Vickers VI C,81.82%,,
93,Vickers VI A,O/O/O,"12""/18""",MG,british,,327,Vickers VI A-B,327,Vickers VI A-B,92.31%,328,Vickers VI C,91.67%,326,Vickers VI,90.91%,,
94,Vickers VI B,O/O/O,"12""/18""",MG,british,,327,Vickers VI A-B,327,Vickers VI A-B,92.31%,328,Vickers VI C,91.67%,326,Vickers VI,90.91%,,
95,Vickers VI C,O/O/O,"12""/18""",15mm Besa,british,,328,Vickers VI C,328,Vickers VI C,100.00%,326,Vickers VI,90.91%,327,Vickers VI A-B,84.62%,,
136,Wasp,O/O/O,"10""/15""",F'thrower,british,,151,Wasp,151,Wasp,100.00%,29,Wespe,66.67%,333,A9 CS,44.44%,,
43,Wespe,N/O/O,"8""/12""",105mmL130,german,,29,Wespe,29,Wespe,100.00%,151,Wasp,66.67%,163,Jeep,44.44%,,
45,Wirbelwind,N/O/O,"8""/12""",Quad 20mmL15,german,,196,Wirbelwind,196,Wirbelwind,100.00%,54,Kübelwagen,50.00%,195,Möbelwagen,50.00%,,
