id,name,movement_REF,armor_REF,weapons_REF,special_rules_REF,ammo_1,ammo_2,ammo_3,ammo_4,mount_1,mount_2,mount_3,mount_4,year_range,vehicle_type,nation,armor_modifier,armor_side_schurzen,notes
340,Morris CS9,8/12,O/O/O,Boys AT-rifle,,,,,,,,,,,,,,,
293,Morris LRC,8/12,O/O/O,Boys AT-rifle,,,,,,,,,,,,,,,
182,Morris Quad,8/24,//,,Gun tow,,,,,,,,,,,,,,
50,Motorcycle,6/24,//,,,,,,,,,,,,,,,,
51,Motorcycle and sidecar,6/24,//,,,,,,,,,,,,,,,,
31,Munitions Carrier,8/12,N/O/O,,Resupply,,,,,,,,,,,,,,
195,Möbelwagen,8/12,L/N/O,37mmL57,,,,,,,,,,,,,,,
264,Nashorn,8/12,N/O/O,88mmL71 (PaK43),,,,,,,,,,,,,,,
533,Nissan 80/180 Truck,6/24,//,,,,,,,,,,,,,,,,
298,OA Vz30,8/24,O/O/O,,,,,,,,,,,,,,,,
370,OT-130 Flamethrower Tank,5/10,N/O/O,Flamethrower,Unreliable,,,,,,,,,,,,,,
578,OT-26,5/10,N/O/O,Flamethrower,Unreliable,,,,,,,,,,,,,,
244,OT-34,12/16,K/L/M,"Flamethrower, 76.2mmL42",T-34 Mobility,,,,,,,,,,,,,,
395,OT-7,15/22,N/O/O,Flamethrower,Unreliable,,,,,,,,,,,,,,
58,Opel Blitz (German Medium Truck),6/24,//,,,,,,,,,,,,,,,,
59,Opel Maultier,12/16,//,,,,,,,,,,,,,,,,
261,Ostwind,8/12,L/N/O,37mmL57,,,,,,,,,,,,,,,
483,P19 Kegresse Half Track,12/18,//,,,,,,,,,,,,,,,,
485,P19 Kegresse Tank Hunter,12/18,//,25mmL72 S.A. Mle gun,,,,,,,,,,,,,,,
243,PT-34,12/16,K/L/M,76.2mmL42,"T-34 Mobility, Mineroller",,,,,,,,,,,,,,
563,PaK40 auf RSO,6/9,N/O/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
202,Panhard 178,8/24,N/O/O,25mmL47,,,,,,,,,,,,,,,
187,Panther A/G,10/14,H/K/L,75mmL70,,,,,,,,,,,,,,,
10,Panther D,10/14,H/K/L,75mmL70,Unreliable,,,,,,,,,,,,,,
565,Pantherturm,,H/M/M,75mmL70,,,,,,,,,,,,,,,
278,Panzer 35(t),7/11,N/O/O,37mmL40,,,,,,,,,,,,,,,
222,Panzer 35H 735(f),8/12,N/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
68,Panzer 35R 731(f),8/12,M/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
69,Panzer 35S 739(f),10/14,L/M/N,47mmL32,One man turret,,,,,,,,,,,,,,
279,Panzer 38(t),9/13,L/N/O,37mmL46,,,,,,,,,,,,,,,
280,Panzer 38(t) Panzerbefehlswagen,9/13,L/N/O,,,,,,,,,,,,,,,,
218,Panzer 38H 735(f) auf 28cm Wurfrahmen,8/12,N/N/N,"280mm Nebelwerfer, 37mmL21",,,,,,,,,,,,,,,
219,Panzer 39H Beobachtungswagen,8/12,M/N/N,,,,,,,,,,,,,,,,
223,Panzer FT17/18(f),3/6,N/O/O,37mmL21,One man turret,,,,,,,,,,,,,,
286,Panzer I,8/12,O/O/O,,,,,,,,,,,,,,,,
360,Panzer I Ambulance,8/12,O/O/O,,Medic,,,,,,,,,,,,,,
460,Panzer I Brückenleger,8/10,O/O/O,,Bridging,,,,,,,,,,,,,,
591,Panzer I ausf F,8/12,O/O/O,,,,,,,,,,,,,,,,
461,Panzer I munitions-schlepper,8/12,O/O/O,,,,,,,,,,,,,,,,
287,Panzer II C,10/14,O/O/O,20mmL55,,,,,,,,,,,,,,,
13,Panzer II F,8/12,N/O/O,20mmL55,,,,,,,,,,,,,,,
251,Panzer II L 'Luchs',10/14,N/O/O,20mmL55,,,,,,,,,,,,,,,
592,Panzer II VK1601,7/10,I/K/M,20mmL55,,,,,,,,,,,,,,,
465,Panzer III D,8/12,N/N/N,37mmL46,,,,,,,,,,,,,,,
466,Panzer III E,8/12,M/N/N,37mmL46,,,,,,,,,,,,,,,
351,Panzer III E Befehlswagen,8/12,M/N/N,,,,,,,,,,,,,,,,
457,Panzer III E Panzerbefehlswagen,8/12,M/N/N,,,,,,,,,,,,,,,,
288,Panzer III F,8/12,M/N/N,37mmL46,,,,,,,,,,,,,,,
289,Panzer III G,8/12,M/N/N,50mmL42,,,,,,,,,,,,,,,
369,Panzer III H,8/12,L/N/N,50mmL42,,,,,,,,,,,,,,,
6,Panzer III H Observation Tank,8/12,N/N/N,,,,,,,,,,,,,,,,
361,Panzer III H Panzerbefehlswagen,8/12,L/N/N,50mmL42,,,,,,,,,,,,,,,
1,Panzer III J,8/12,L/N/N,50mmL42,,,,,,,,,,,,,,,
404,Panzer III J (lang),8/12,L/N/N,50mmL60 (PaK38),,,,,,,,,,,,,,,
2,Panzer III L,8/12,K/N/N,50mmL60 (PaK38),,,,,,,,,,,,,,,
3,Panzer III M,8/12,K/N(M)/N,50mmL60 (PaK38),,,,,,,,,,,,,,,
4,Panzer III N,8/12,K/N(M)/N,75mmL24,,,,,,,,,,,,,,,
468,Panzer IV A-C,8/12,M/O/O,75mmL24,,,,,,,,,,,,,,,
406,Panzer IV Brückenleger,8/12,M/N/O,,Bridging,,,,,,,,,,,,,,
96,Panzer IV D,8/12,M/N/N,75mmL24,,,,,,,,,,,,,,,
185,Panzer IV D,8/12,M/N/N,75mmL24,,,,,,,,,,,,,,,
458,Panzer IV D,8/12,M/N/N,75mmL24,,,,,,,,,,,,,,,
7,Panzer IV E-F1,8/12,L/N/N,75mmL24,,,,,,,,,,,,,,,
405,Panzer IV F2,8/12,L/N/N,75mm L43,,,,,,,,,,,,,,,
8,Panzer IV G,8/12,L/N(M)/N,75mmL43,,,,,,,,,,,,,,,
9,Panzer IV H/J,8/12,K/N(M)/N,75mmL48 (PaK40),,,,,,,,,,,,,,,
12,Panzer T-34(r),12/16,K/L/M,76.2mmL42,T-34 Mobility,,,,,,,,,,,,,,
227,Panzerjaeger 35R,8/12,M/O/O,47mmL43,,,,,,,,,,,,,,,
283,Panzerjaeger auf Pz I,8/12,O/O/O,47mmL43,,,,,,,,,,,,,,,
193,Panzerwerfer,12/16,O/O/O,150mm Nebelwerfer,,,,,,,,,,,,,,,
442,Polski Fiat 508 Car,6/24,//,,,,,,,,,,,,,,,,
443,Polski Fiat 621 Truck,6/24,//,,,,,,,,,,,,,,,,
155,Priest,9/14,N/O/O,105mmL22,,,,,,,,,,,,,,,
207,Pz-III Panzerturm,,M/N/N,75mmL24,,,,,,,,,,,,,,,
594,PzSpWg 201(h),8/24,O/O/O,37mmL57,,,,,,,,,,,,,,,
596,PzSpWg 202(h) 20mm,8/24,N/O/O,20mmL60,,,,,,,,,,,,,,,
595,PzSpWg 202(h) 37mm,8/24,N/O/O,37mmL46,,,,,,,,,,,,,,,
204,R-35,8/12,M/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
205,R-35 (MG only),8/12,M/N/N,,,,,,,,,,,,,,,,
581,R-35 (MG) Panzerturm,,M/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
580,R-35 Panzerturm,,M/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
372,R-35 Tank,8/12,M/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
475,R-40,9/13,M/N/N,37mmL35,One man turret,,,,,,,,,,,,,,
374,R1 (AH-IV) Tankette,10/14,O/O/O,,One man turret,,,,,,,,,,,,,,
60,RSO,9/12,//,,,,,,,,,,,,,,,,
92,Radio Van,6/24,//,,,,,,,,,,,,,,,,
147,Ram Kangaroo,9/14,K/M/M,,,,,,,,,,,,,,,,
482,Renault AHS Truck,6/24,//,,,,,,,,,,,,,,,,
439,Renault D-1,4/6,L/N/O,47mmL32,,,,,,,,,,,,,,,
477,Renault D-2,5/7,L/N/O,47mmL32,,,,,,,,,,,,,,,
588,Repair Truck,6/24,//,,Repair,,,,,,,,,,,,,,
341,Rolls Royce Armoured Car,8/12,O/O/O,Boys AT-rifle,,,,,,,,,,,,,,,
306,SPA AS37,8/24,//,,,,,,,,,,,,,,,,
430,SPA AS42,8/24,//,,,,,,,,,,,,,,,,
305,SPA TL37,8/24,//,,,,,,,,,,,,,,,,
394,ST-26,5/10,N/O/O,,"Unreliable, Bridging",,,,,,,,,,,,,,
98,SU-100,12/16,I/L/M,100mmL54,T-34 Mobility,,,,,,,,,,,,,,
398,SU-12,6/24,//,76.2mmL16,,,,,,,,,,,,,,,
77,SU-122,12/16,L/M/N,122mmL23,,,,,,,,,,,,,,,
78,SU-152,10/14,J/K/L,152mmL29,,,,,,,,,,,,,,,
399,SU-5,5/10,N/O/O,122mm L12,Unreliable,,,,,,,,,,,,,,
247,SU-57,12/24,N/O/O,6 pdr (57mmL46),,,,,,,,,,,,,,,
76,SU-76M,9/14,N/O/O,76.2mmL54 Zis3,,,,,,,,,,,,,,,
229,SU-85,12/16,K/L/M,85mmL54,T-34 Mobility,,,,,,,,,,,,,,
183,Scammel Pioneer,6/24,//,,"Recovery, Repair",,,,,,,,,,,,,,
441,Schneider P16,10/15,O/O/O,37mmL21,,,,,,,,,,,,,,,
55,Schwimmwagen,6/24,//,,Amphibious,,,,,,,,,,,,,,
252,SdKfz 140/1 Aufklaerungspanzerwagen 38,9/13,M/O/O,20mmL55,,,,,,,,,,,,,,,
294,SdKfz 221,8/24,O/O/O,,,,,,,,,,,,,,,,
32,SdKfz 222,8/24,O/O/O,20mmL55,,,,,,,,,,,,,,,
33,SdKfz 223,8/24,O/O/O,,,,,,,,,,,,,,,,
593,SdKfz 231,8/24,N/O/O,20mmL55,,,,,,,,,,,,,,,
34,SdKfz 232,8/24,N/O/O,20mmL55,,,,,,,,,,,,,,,
35,SdKfz 233,8/24,N/O/O,75mmL24,,,,,,,,,,,,,,,
199,SdKfz 234/1,8/24,N/O/O,20mmL55,,,,,,,,,,,,,,,
200,SdKfz 234/2,8/24,N/O/O,50mmL60 (PaK38),,,,,,,,,,,,,,,
201,SdKfz 234/3,8/24,N/O/O,75mmL24,,,,,,,,,,,,,,,
253,SdKfz 234/4,8/24,N/O/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
36,SdKfz 236,8/24,N/O/O,,,,,,,,,,,,,,,,
282,SdKfz 247,8/24,O/O/O,,,,,,,,,,,,,,,,
43,SdKfz 250/1,12/16,O/O/O,,,,,,,,,,,,,,,,
48,SdKfz 250/10,12/16,O/O/O,37mmL43 (PaK36),,,,,,,,,,,,,,,
49,SdKfz 250/11,12/16,O/O/O,28mmPzB41,,,,,,,,,,,,,,,
44,SdKfz 250/3,12/16,O/O/O,,,,,,,,,,,,,,,,
45,SdKfz 250/7,12/16,O/O/O,80mm mortar,,,,,,,,,,,,,,,
46,SdKfz 250/8,12/16,O/O/O,75mmL24,,,,,,,,,,,,,,,
47,SdKfz 250/9,12/16,O/O/O,20mmL55,,,,,,,,,,,,,,,
203,SdKfz 251 Werfrahmen 40,12/16,O/O/O,280mm Nebelwerfer,,,,,,,,,,,,,,,
37,SdKfz 251/1,12/16,O/O/O,,,,,,,,,,,,,,,,
41,SdKfz 251/10,12/16,O/O/O,37mmL43 (PaK36),,,,,,,,,,,,,,,
42,SdKfz 251/16,12/16,O/O/O,Flamethrower,,,,,,,,,,,,,,,
259,SdKfz 251/17,12/16,O/O/O,20mmL55,,,,,,,,,,,,,,,
221,SdKfz 251/18,12/16,O/O/O,,,,,,,,,,,,,,,,
38,SdKfz 251/2,12/16,O/O/O,80mm mortar,,,,,,,,,,,,,,,
248,SdKfz 251/20,12/16,O/O/O,,Uhu,,,,,,,,,,,,,,
260,SdKfz 251/21,12/16,O/O/O,15mm 'Drilling',,,,,,,,,,,,,,,
262,SdKfz 251/22,12/16,O/O/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
254,SdKfz 251/23,12/16,O/O/O,20mmL55,,,,,,,,,,,,,,,
39,SdKfz 251/3,12/16,O/O/O,,,,,,,,,,,,,,,,
281,SdKfz 251/4,12/16,O/O/O,,,,,,,,,,,,,,,,
362,SdKfz 251/6,12/16,O/O/O,,,,,,,,,,,,,,,,
97,SdKfz 251/7,12/16,O/O/O,,Bridging,,,,,,,,,,,,,,
228,SdKfz 251/8,12/16,O/O/O,,Medic,,,,,,,,,,,,,,
40,SdKfz 251/9,12/16,O/O/O,75mmL24,,,,,,,,,,,,,,,
420,SdKfz 253,12/16,O/O/O,,,,,,,,,,,,,,,,
421,SdKfz 254,12/16,O/O/O,,,,,,,,,,,,,,,,
198,SdKfz 263,8/24,N/O/O,,,,,,,,,,,,,,,,
285,SdKfz 265 Panzerbefehlswagen,8/12,O/O/O,,,,,,,,,,,,,,,,
424,SdKfz 6 auf 36(r) 'Diana',12/16,O/O/O,76.2mm L52 Gun (F-22),,,,,,,,,,,,,,,
409,Semoventa M40 47/32,9/13,M/N/O,47mmL32,,,,,,,,,,,,,,,
427,Semoventa M41 75/18,6/11,K/M/O,75mmL18,,,,,,,,,,,,,,,
154,Sexton,8/12,N/O/O,25 pdr,,,,,,,,,,,,,,,
589,Sherman 'Emcha' 75mm,9/14,K/L/N,75mmL40,,,,,,,,,,,,,,,
99,Sherman 'Emcha' 76mm,9/14,K/L/N,"76mmL53 (3"")",,,,,,,,,,,,,,,
566,Sherman Kangaroo,9/14,K/L/N,,,,,,,,,,,,,,,,
487,Somua MCG Prime Mover,12/18,//,,Medium gun tow,,,,,,,,,,,,,,
488,Somua MCG Recovery,12/18,//,,"Recovery, Repair",,,,,,,,,,,,,,
489,Somua MCL5 Recovery,6/24,//,,Repair,,,,,,,,,,,,,,
438,Somua S-35,10/14,L/M/N,47mmL32,One man turret,,,,,,,,,,,,,,
53,Staff car,6/24,//,,,,,,,,,,,,,,,,
138,Staghound,8/24,N/N/O,37mmL53,,,,,,,,,,,,,,,
139,Staghound AA,8/24,N/N/O,,,,,,,,,,,,,,,,
464,Steyr ADGZ,8/24,O/O/O,20mmL55,,,,,,,,,,,,,,,
295,Steyr AGDZ,8/24,O/O/O,20mm,,,,,,,,,,,,,,,
56,Steyr Heavy car,6/24,//,,,,,,,,,,,,,,,,
407,StuG 33B,6/10,H/K/N,150mmL12 (sIG33),,,,,,,,,,,,,,,
15,StuG III A-E,8/12,L/N/N,75mmL24,,,,,,,,,,,,,,,
16,StuG III F,8/12,L/N/N,75mmL43,,,,,,,,,,,,,,,
425,StuG III F8,8/12,L/N/N,75mmL43,,,,,,,,,,,,,,,
18,StuG III G,8/12,J/N(M)/N,75mmL48 (PaK40),,,,,,,,,,,,,,,
189,StuG IV,8/12,J/N(M)/N,75mmL48 (PaK40),,,,,,,,,,,,,,,
17,StuH 42 F,8/12,L/N/N,105mmL28,,,,,,,,,,,,,,,
19,StuH 42 G,8/12,J/N(M)/N,105mmL28,,,,,,,,,,,,,,,
257,Sturmmörser Tiger,8/12,D/J/N,380mmL5,,,,,,,,,,,,,,,
386,T-26 N Observation Tank,5/10,N/O/O,,Unreliable,,,,,,,,,,,,,,
380,T-26 m31,5/10,N/O/O,37mmL45,Unreliable,,,,,,,,,,,,,,
579,T-26 m31 MG,5/10,N/O/O,,Unreliable,,,,,,,,,,,,,,
381,T-26 m33,5/10,N/O/O,45mmL46,Unreliable,,,,,,,,,,,,,,
365,T-26 m36,5/10,N/O/O,45mmL46,Unreliable,,,,,,,,,,,,,,
376,T-26 m39,5/10,N/O/O,45mmL46,Unreliable,,,,,,,,,,,,,,
397,T-26T Tractor,5/10,N/O/O,,Unreliable,,,,,,,,,,,,,,
590,T-26s,5/10,N/O/O,45mmL46,,,,,,,,,,,,,,,
385,T-27 Tankette,8/13,O/O/O,,Unreliable,,,,,,,,,,,,,,
366,T-28,6/10,M/N/O,76.2mmL16,"Unreliable, Multiple turrets",,,,,,,,,,,,,,
390,T-30 (T-40S),9/14,O/O/O,20mm,,,,,,,,,,,,,,,
242,T-34 ARV,12/16,K/L/M,,"T-34 Mobility, Repair, Recovery",,,,,,,,,,,,,,
377,T-34/40 (L30),12/16,K/L/M,76.2mmL30,"T-34 Mobility, Unreliable",,,,,,,,,,,,,,
378,T-34/40 (L40),12/16,K/L/M,76.2mmL42,"T-34 Mobility, Unreliable",,,,,,,,,,,,,,
75,T-34/76,12/16,K/L/M,76.2mmL42,T-34 Mobility,,,,,,,,,,,,,,
236,T-34/85,12/16,J/L/M,85mmL54,T-34 Mobility,,,,,,,,,,,,,,
401,T-35,6/9,L/M/O,76.2mmL16,"Unreliable, Multiple turrets",,,,,,,,,,,,,,
387,T-37,10/20,O/O/O,,"Unreliable, Amphibious",,,,,,,,,,,,,,
388,T-38,7/14,O/O/O,,"Unreliable, Amphibious",,,,,,,,,,,,,,
389,T-40,9/14,O/O/O,,Amphibious,,,,,,,,,,,,,,
391,T-50,12/18,L/M/N,45mmL46,,,,,,,,,,,,,,,
71,T-60,12/19,M/N/O,20mm,,,,,,,,,,,,,,,
72,T-70,10/15,K/N/O,45mmL46,,,,,,,,,,,,,,,
231,T-80,9/13,K/N/O,45mmL46,,,,,,,,,,,,,,,
499,T13 B1 or B2,12/18,O/O/O,47mmL32,,,,,,,,,,,,,,,
500,T13 B3,12/18,N/O/O,47mmL32,,,,,,,,,,,,,,,
433,T19 HMC (105mm),12/24,N/O/O,105mmL22,,,,,,,,,,,,,,,
426,T30 HMC (75mm),12/24,N/O/O,75mmL16,,,,,,,,,,,,,,,
396,TB-26,5/10,N/O/O,,Unreliable,,,,,,,,,,,,,,
456,TKD with 47mm,8/12,O/O/O,47mmL45,,,,,,,,,,,,,,,
299,TKS,9/12,O/O/O,,,,,,,,,,,,,,,,
445,TKS with 20mm Gun,8/12,O/O/O,20mmL60,,,,,,,,,,,,,,,
403,TP-26 APC,5/10,N/O/O,,Unreliable,,,,,,,,,,,,,,
373,Tatra Armoured Car,8/24,O/O/O,,,,,,,,,,,,,,,,
118,Tetrarch,14/20,N/O/O,2 pdr (Littlejohn),,,,,,,,,,,,,,,
119,Tetrarch CS,14/20,N/O/O,76.2mmL16,,,,,,,,,,,,,,,
11,Tiger I,8/12,H/J/J,88mmL56 (FlaK36),,,,,,,,,,,,,,,
186,Tiger II,8/12,C/H/J,88mmL71 (PaK43),,,,,,,,,,,,,,,
290,Toldi I,9/14,N/O/O,20mmL55,,,,,,,,,,,,,,,
291,Toldi II,9/14,L/O/O,20mmL55,,,,,,,,,,,,,,,
353,Toldi II,9/14,L/O/O,20mmL55,,,,,,,,,,,,,,,
528,Type 1 Ho-Ha,12/16,N/O/O,,,,,,,,,,,,,,,,
527,Type 1 Ho-Ki,9/13,O/O/O,,,,,,,,,,,,,,,,
523,Type 1 Ho-Ni I,9/12,L/M/N,75mmL38,,,,,,,,,,,,,,,
524,Type 1 Ho-Ni II,9/12,L/M/N,105mmL24,,,,,,,,,,,,,,,
518,Type 2 Ka-Mi,8/11,N/O/O,37mmL36,"One man turret, Amphibious",,,,,,,,,,,,,,
517,Type 2 Ke-To,11/15,N/O/O,37mmL46,,,,,,,,,,,,,,,
525,Type 4 Ho-Ro,9/12,L/M/N,150mmL14,,,,,,,,,,,,,,,
514,Type 89 I-Go,5/8,N/O/O,57mmL18,Unreliable,,,,,,,,,,,,,,
521,Type 91 Sumi-Da,8/16,N/O/O,,,,,,,,,,,,,,,,
522,Type 93,8/16,N/O/O,,,,,,,,,,,,,,,,
512,Type 94 Tankette,9/12,N/O/O,,,,,,,,,,,,,,,,
531,Type 94 Truck,6/24,//,,,,,,,,,,,,,,,,
534,Type 94 Yo-Ke,9/12,//,,One light gun tow,,,,,,,,,,,,,,
515,Type 95 Ha-Go,10/14,N/O/O,37mmL36,One man turret,,,,,,,,,,,,,,
530,Type 95 Kurogane,6/24,//,,,,,,,,,,,,,,,,
526,Type 96 SS-Ki,8/12,N/N/O,,"Bridging, Engineer",,,,,,,,,,,,,,
519,Type 97 Chi-Ha,9/12,L/M/N,57mmL18,,,,,,,,,,,,,,,
520,Type 97 Shinhoto Chi-Ha,9/12,L/M/N,47mmL48,,,,,,,,,,,,,,,
513,Type 97 Te-Ke,9/13,N/O/O,37mmL36,One man turret,,,,,,,,,,,,,,
532,Type 97 Truck,6/24,//,,,,,,,,,,,,,,,,
516,Type 98 Ke-Ni,11/15,N/O/O,37mmL36,,,,,,,,,,,,,,,
536,Type 98 Ro-Ke,9/12,//,,One medium gun tow,,,,,,,,,,,,,,
535,Type 98 Shi-Ke,9/12,//,,One light gun tow,,,,,,,,,,,,,,
529,Type 98 So-Da,10/14,O/O/O,,,,,,,,,,,,,,,,
375,UE Supply Carrier,6/10,O/O/O,,,,,,,,,,,,,,,,
484,Unic P107 Half Track,12/18,//,,,,,,,,,,,,,,,,
501,VUDB Berliet,12/16,O/O/O,,,,,,,,,,,,,,,,
131,Valentine Bridge,5/8,K/K/L,,Bridging,,,,,,,,,,,,,,
331,Valentine II,6/9,K/K/N,2 pdr,,,,,,,,,,,,,,,
87,Valentine III,5/8,K/K/L,2 pdr,,,,,,,,,,,,,,,
573,Valentine III,5/8,K/K/N,2 pdr,,,,,,,,,,,,,,,
554,Valentine Scorpion,5/8,K/K/N,2 pdr,Engineer,,,,,,,,,,,,,,
417,Valentine VIII,5/8,K/K/L,6 pdr (57mmL46),,,,,,,,,,,,,,,
446,Vickers E Type A,7/11,N/O/O,,,,,,,,,,,,,,,,
447,Vickers E Type B,7/11,N/O/O,47mmL32,,,,,,,,,,,,,,,
567,Vickers IV,12/18,O/O/O,,,,,,,,,,,,,,,,
497,Vickers T15,12/18,O/O/O,,One man turret,,,,,,,,,,,,,,
326,Vickers VI,12/18,O/O/O,,,,,,,,,,,,,,,,
327,Vickers VI A-B,12/18,O/O/O,,,,,,,,,,,,,,,,
328,Vickers VI C,12/18,O/O/O,15mm Besa,,,,,,,,,,,,,,,
241,Voroshilovets tractor,12/16,//,,Heavy gun tow,,,,,,,,,,,,,,
151,Wasp,10/15,O/O/O,Flamethrower,,,,,,,,,,,,,,,
29,Wespe,8/12,N/O/O,105mmL28,,,,,,,,,,,,,,,
84,White Scout Car,8/12,N/O/O,,,,,,,,,,,,,,,,
577,White Scout Car,8/12,O/O/O,,,,,,,,,,,,,,,,
196,Wirbelwind,8/12,L/N/O,20mmL55,,,,,,,,,,,,,,,
452,Wz 34 (MG) Armoured Car,12/16,O/O/O,,,,,,,,,,,,,,,,
451,Wz 34 Armoured Car,12/16,O/O/O,37mmL21,,,,,,,,,,,,,,,
453,Wz 39 Ursus,12/16,O/O/O,37mmL21,,,,,,,,,,,,,,,
449,Wz.34 C4P Half-Track,12/16,//,,,,,,,,,,,,,,,,
444,Wz.34 Half Track,12/16,//,37mmL21,Capaity 12 or one gun,,,,,,,,,,,,,,
246,ZSU-37,10/15,N/O/O,37mmL60,,,,,,,,,,,,,,,
599,Zugkraftwagen S307(f) tow,9/13,O/O/O,,,,,,,,,,,,,,,,
211,leSPW U304(f),10/14,O/O/O,,,,,,,,,,,,,,,,
213,leSPW U304(f) FlaK38,10/14,O/O/O,20mmL55,,,,,,,,,,,,,,,
212,leSPW U304(f) Funk,10/14,O/O/O,,Signals,,,,,,,,,,,,,,
598,leSPW U304(f) PaK36,10/14,O/O/O,37mmL43 (PaK36),,,,,,,,,,,,,,,
214,mSPW S303(f),9/13,O/O/O,,Bridging,,,,,,,,,,,,,,
215,mSPW S307(f),9/13,O/O/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
216,mSPW S307(f) 8cm Reihenwerfer,9/13,O/O/O,80mm mortar,,,,,,,,,,,,,,,
217,mSPW S307(f) R. Vielfachwerfer,9/13,O/O/O,80mm rocket,,,,,,,,,,,,,,,
284,sIG33 auf Pz I,8/12,O/O/O,150mmL12 (sIG33),,,,,,,,,,,,,,,
